SCD;21NOV12
RowNr;RD;RA;CD;CA;AL;FNR;SNR;DEP;ARR;STD;DDC;STA;ADC;Mo;Tu;We;Th;Fr;Sa;So;ACtype;ACtypefullname;AG;AGfullname;Start_Op;End_Op
98;EU;EU;DE;DE;LH;LH013;0;HAM;FRA;1000;0;1115;0;;;3;;;;;321;AirbusA321-100/200;W;PAXULD;21NOV12;21NOV12
99;EU;EU;DE;DE;LH;LH014;0;FRA;HAM;1200;0;1305;0;;;3;;;;;321;AirbusA321-100/200;W;PAXULD;21NOV12;21NOV12
100;EU;EU;DE;DE;LH;LH014;0;FRA;HAM;1200;0;1305;0;1;;;;;;;319;AirbusA319;O;Others;26NOV12;26NOV12
101;EU;EU;DE;DE;LH;LH014;0;FRA;HAM;1200;0;1305;0;;2;;4;5;6;;321;AirbusA321-100/200;W;PAXULD;22NOV12;04DEC12
102;EU;EU;DE;DE;LH;LH014;0;FRA;HAM;1200;0;1305;0;;;;;;;7;320;AirbusA320-100/200;W;PAXULD;25NOV12;25NOV12
103;EU;EU;DE;DE;LH;LH014;0;FRA;HAM;1200;0;1305;0;;;3;;;;;319;AirbusA319;O;Others;28NOV12;28NOV12
104;EU;EU;DE;DE;LH;LH014;0;FRA;HAM;1200;0;1305;0;1;;;;;6;7;320;AirbusA320-100/200;W;PAXULD;02DEC12;08DEC12
105;EU;EU;DE;DE;LH;LH014;0;FRA;HAM;1200;0;1305;0;1;;3;;;;;319;AirbusA319;O;Others;05DEC12;24DEC12
106;EU;EU;DE;DE;LH;LH014;0;FRA;HAM;1200;0;1305;0;;;;4;5;;7;321;AirbusA321-100/200;W;PAXULD;06DEC12;20DEC12
107;EU;EU;DE;DE;LH;LH014;0;FRA;HAM;1200;0;1305;0;;2;;;;6;;321;AirbusA321-100/200;W;PAXULD;11DEC12;22DEC12
108;EU;EU;DE;DE;LH;LH014;0;FRA;HAM;1200;0;1305;0;;;;;5;;7;319;AirbusA319;O;Others;21DEC12;23DEC12
109;EU;EU;DE;DE;LH;LH015;0;HAM;FRA;1100;0;1215;0;1;;3;4;;6;;321;AirbusA321-100/200;W;PAXULD;19NOV12;24NOV12
110;EU;EU;DE;DE;LH;LH015;0;HAM;FRA;1100;0;1215;0;1;2;;;5;;;320;AirbusA320-100/200;W;PAXULD;20NOV12;26NOV12
111;EU;EU;DE;DE;LH;LH015;0;HAM;FRA;1100;0;1215;0;;2;;4;;;;321;AirbusA321-100/200;W;PAXULD;27NOV12;29NOV12
112;EU;EU;DE;DE;LH;LH015;0;HAM;FRA;1100;0;1215;0;;;3;;5;;;321;AirbusA321-100/200;W;PAXULD;28NOV12;07DEC12
113;EU;EU;DE;DE;LH;LH015;0;HAM;FRA;1100;0;1215;0;1;2;;4;;6;;319;AirbusA319;O;Others;01DEC12;22DEC12
114;EU;EU;DE;DE;LH;LH015;0;HAM;FRA;1100;0;1215;0;;;3;;;;;320;AirbusA320-100/200;W;PAXULD;12DEC12;12DEC12
115;EU;EU;DE;DE;LH;LH015;0;HAM;FRA;1100;0;1215;0;;;3;;5;;;319;AirbusA319;O;Others;14DEC12;21DEC12
116;EU;EU;DE;DE;LH;LH016;0;FRA;HAM;1300;0;1405;0;;2;;;;;;321;AirbusA321-100/200;W;PAXULD;27NOV12;18DEC12
117;EU;EU;DE;DE;LH;LH016;0;FRA;HAM;1300;0;1405;0;;;;4;5;6;;321;AirbusA321-100/200;W;PAXULD;15NOV12;14DEC12
118;EU;EU;DE;DE;LH;LH016;0;FRA;HAM;1300;0;1405;0;1;;3;;;;7;321;AirbusA321-100/200;W;PAXULD;19NOV12;25NOV12
119;EU;EU;DE;DE;LH;LH016;0;FRA;HAM;1300;0;1405;0;1;;3;;;;;320;AirbusA320-100/200;W;PAXULD;26NOV12;28NOV12
120;EU;EU;DE;DE;LH;LH016;0;FRA;HAM;1300;0;1405;0;;;;;;;7;320;AirbusA320-100/200;W;PAXULD;02DEC12;23DEC12
121;EU;EU;DE;DE;LH;LH016;0;FRA;HAM;1300;0;1405;0;1;;;;;;;319;AirbusA319;O;Others;03DEC12;17DEC12
122;EU;EU;DE;DE;LH;LH016;0;FRA;HAM;1300;0;1405;0;;;3;;;;;320;AirbusA320-100/200;W;PAXULD;05DEC12;05DEC12
123;EU;EU;DE;DE;LH;LH016;0;FRA;HAM;1300;0;1405;0;;;3;;;;;321;AirbusA321-100/200;W;PAXULD;12DEC12;12DEC12
124;EU;EU;DE;DE;LH;LH016;0;FRA;HAM;1300;0;1405;0;;;3;4;5;6;;320;AirbusA320-100/200;W;PAXULD;15DEC12;21DEC12
125;EU;EU;DE;DE;LH;LH017;0;HAM;FRA;1200;0;1315;0;;;3;4;5;;;321;AirbusA321-100/200;W;PAXULD;21NOV12;23NOV12
126;EU;EU;DE;DE;LH;LH017;0;HAM;FRA;1200;0;1315;0;;2;;;;6;7;319;AirbusA319;O;Others;20NOV12;27NOV12
127;EU;EU;DE;DE;LH;LH017;0;HAM;FRA;1200;0;1315;0;1;;3;;;;;321;AirbusA321-100/200;W;PAXULD;26NOV12;28NOV12
128;EU;EU;DE;DE;LH;LH017;0;HAM;FRA;1200;0;1315;0;;;;4;5;;;319;AirbusA319;O;Others;29NOV12;30NOV12
129;EU;EU;DE;DE;LH;LH017;0;HAM;FRA;1200;0;1315;0;;;;;;6;7;320;AirbusA320-100/200;W;PAXULD;01DEC12;08DEC12
130;EU;EU;DE;DE;LH;LH017;0;HAM;FRA;1200;0;1315;0;1;2;;;;;;319;AirbusA319;O;Others;03DEC12;04DEC12
131;EU;EU;DE;DE;LH;LH017;0;HAM;FRA;1200;0;1315;0;1;2;3;4;5;;;321;AirbusA321-100/200;W;PAXULD;05DEC12;11DEC12
132;EU;EU;DE;DE;LH;LH017;0;HAM;FRA;1200;0;1315;0;;;;;;;7;321;AirbusA321-100/200;W;PAXULD;09DEC12;09DEC12
133;EU;EU;DE;DE;LH;LH017;0;HAM;FRA;1200;0;1315;0;;;3;4;;;;319;AirbusA319;O;Others;12DEC12;19DEC12
134;EU;EU;DE;DE;LH;LH017;0;HAM;FRA;1200;0;1315;0;;;;4;5;;;321;AirbusA321-100/200;W;PAXULD;14DEC12;20DEC12
135;EU;EU;DE;DE;LH;LH017;0;HAM;FRA;1200;0;1315;0;1;2;;;5;6;7;319;AirbusA319;O;Others;15DEC12;04JAN13
136;EU;EU;DE;DE;LH;LH018;0;FRA;HAM;1400;0;1505;0;;2;3;;5;;;319;AirbusA319;O;Others;13NOV12;30NOV12
137;EU;EU;DE;DE;LH;LH018;0;FRA;HAM;1400;0;1505;0;;;;4;;;;321;AirbusA321-100/200;W;PAXULD;15NOV12;13DEC12
138;EU;EU;DE;DE;LH;LH018;0;FRA;HAM;1400;0;1505;0;1;;;;;;;321;AirbusA321-100/200;W;PAXULD;26NOV12;26NOV12
139;EU;EU;DE;DE;LH;LH018;0;FRA;HAM;1400;0;1505;0;1;2;3;;5;;;319;AirbusA319;O;Others;03DEC12;07DEC12
140;EU;EU;DE;DE;LH;LH018;0;FRA;HAM;1400;0;1505;0;1;2;;;;;;321;AirbusA321-100/200;W;PAXULD;10DEC12;11DEC12
141;EU;EU;DE;DE;LH;LH018;0;FRA;HAM;1400;0;1505;0;;2;3;;;;;319;AirbusA319;O;Others;12DEC12;19DEC12
142;EU;EU;DE;DE;LH;LH018;0;FRA;HAM;1400;0;1505;0;1;;;4;5;;;319;AirbusA319;O;Others;14DEC12;04JAN13
143;EU;EU;DE;DE;LH;LH019;0;HAM;FRA;1400;0;1515;0;;;3;;;;;321;AirbusA321-100/200;W;PAXULD;21NOV12;21NOV12
144;EU;EU;DE;DE;LH;LH019;0;HAM;FRA;1400;0;1515;0;1;;;;;;;319;AirbusA319;O;Others;26NOV12;26NOV12
